2022-04-22 15:48:49 - experiment - INFO: Created a new experiment in runs/Gaussian_20_constraint.
2022-04-22 15:48:53 - experiment - INFO: Loaded experiment from runs/Gaussian_20_constraint.
2022-04-22 15:48:53 - controller - INFO: Initializing environment: febo.environment.benchmarks.functions.GaussianConstraint.
2022-04-22 15:48:53 - controller - INFO: Initializing algorithm: SafeRandomLineBO.
2022-04-22 15:48:53 - algorithm - INFO: Got 0 initial data points.
2022-04-22 15:48:53 - model - INFO: Using beta=4 .
2022-04-22 15:48:53 - model - INFO: Using beta=4 .
2022-04-22 15:48:53 - algorithm - INFO: Got 0 initial data points.
2022-04-22 15:48:53 - model - INFO: Using beta=4 .
2022-04-22 15:48:53 - model - INFO: Using beta=4 .
2022-04-22 15:48:53 - controller - INFO: Starting optimization: SafeRandomLineBO
2022-04-22 15:48:53 - algorithm - INFO: best_x evaluate, y=0.01839061759192702
2022-04-22 15:48:53 - algorithm - INFO: starting 1, line-solver.
2022-04-22 15:48:54 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:54 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_1.pdf
2022-04-22 15:48:54 - algorithm - INFO: best_x evaluate, y=0.023263781873810216
2022-04-22 15:48:54 - algorithm - INFO: starting 2, line-solver.
2022-04-22 15:48:54 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:54 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_2.pdf
2022-04-22 15:48:54 - algorithm - INFO: best_x evaluate, y=0.023741716994732622
2022-04-22 15:48:54 - algorithm - INFO: starting 3, line-solver.
2022-04-22 15:48:54 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:54 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_3.pdf
2022-04-22 15:48:54 - algorithm - INFO: best_x evaluate, y=0.025575017523931997
2022-04-22 15:48:54 - algorithm - INFO: starting 4, line-solver.
2022-04-22 15:48:54 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:54 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_4.pdf
2022-04-22 15:48:54 - algorithm - INFO: best_x evaluate, y=0.024853567624893755
2022-04-22 15:48:54 - algorithm - INFO: starting 5, line-solver.
2022-04-22 15:48:55 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:55 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_5.pdf
2022-04-22 15:48:55 - algorithm - INFO: best_x evaluate, y=0.030398229567098884
2022-04-22 15:48:55 - algorithm - INFO: starting 6, line-solver.
2022-04-22 15:48:55 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:55 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_6.pdf
2022-04-22 15:48:55 - algorithm - INFO: best_x evaluate, y=0.03162853916739322
2022-04-22 15:48:55 - algorithm - INFO: starting 7, line-solver.
2022-04-22 15:48:55 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:55 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_7.pdf
2022-04-22 15:48:55 - algorithm - INFO: best_x evaluate, y=0.03407297251631167
2022-04-22 15:48:55 - algorithm - INFO: starting 8, line-solver.
2022-04-22 15:48:55 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:55 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_8.pdf
2022-04-22 15:48:55 - algorithm - INFO: best_x evaluate, y=0.06237447714671638
2022-04-22 15:48:55 - algorithm - INFO: starting 9, line-solver.
2022-04-22 15:48:56 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:56 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_9.pdf
2022-04-22 15:48:56 - algorithm - INFO: best_x evaluate, y=0.0626340077282744
2022-04-22 15:48:56 - algorithm - INFO: starting 10, line-solver.
2022-04-22 15:48:56 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:56 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_10.pdf
2022-04-22 15:48:56 - algorithm - INFO: best_x evaluate, y=0.0629473988820314
2022-04-22 15:48:56 - algorithm - INFO: starting 11, line-solver.
2022-04-22 15:48:56 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-22 15:48:56 - algorithm - INFO: Saved line plot to runs/Gaussian_20_constraint/plots/0/0/Iteration_11.pdf
2022-04-22 15:48:56 - algorithm - INFO: best_x evaluate, y=0.06834326969560067
2022-04-22 15:48:56 - algorithm - INFO: starting 12, line-solver.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:56 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-22 15:48:57 - algorithm - WARNING: No safe point found, choosing current line center.
