2022-04-27 11:29:05 - experiment - INFO: Created a new experiment in runs/Rosenbrock_4a.
2022-04-27 11:29:10 - experiment - INFO: Loaded experiment from runs/Rosenbrock_4a.
2022-04-27 11:29:10 - controller - INFO: Initializing environment: febo.environment.benchmarks.functions.Rosenbrock.
2022-04-27 11:29:10 - controller - INFO: Initializing algorithm: SafeAscentLineBO.
2022-04-27 11:29:10 - algorithm - INFO: Got 0 initial data points.
2022-04-27 11:29:10 - model - INFO: Using beta=4 .
2022-04-27 11:29:10 - model - INFO: Using beta=4 .
2022-04-27 11:29:10 - model - INFO: Using beta=4 .
2022-04-27 11:29:10 - algorithm - INFO: Got 0 initial data points.
2022-04-27 11:29:10 - model - INFO: Using beta=4 .
2022-04-27 11:29:10 - model - INFO: Using beta=4 .
2022-04-27 11:29:10 - model - INFO: Using beta=4 .
2022-04-27 11:29:10 - controller - INFO: Starting optimization: SafeAscentLineBO
2022-04-27 11:29:10 - algorithm - INFO: best_x evaluate, y=4.134265489487426
2022-04-27 11:29:10 - algorithm - INFO: starting 1, tr-solver.
2022-04-27 11:29:11 - algorithm - INFO: Saved trust-region plot to runs/Rosenbrock_4a/plots/0/0/Iteration_1.pdf
2022-04-27 11:29:11 - algorithm - INFO: best_x evaluate, y=10.329154727746289
2022-04-27 11:29:11 - algorithm - INFO: starting 2, line-solver.
2022-04-27 11:29:11 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-27 11:29:11 - algorithm - INFO: Saved line plot to runs/Rosenbrock_4a/plots/0/0/Iteration_2.pdf
2022-04-27 11:29:11 - algorithm - INFO: best_x evaluate, y=28.936715199978778
2022-04-27 11:29:11 - algorithm - INFO: starting 3, tr-solver.
2022-04-27 11:29:11 - algorithm - INFO: Saved trust-region plot to runs/Rosenbrock_4a/plots/0/0/Iteration_3.pdf
2022-04-27 11:29:11 - algorithm - INFO: best_x evaluate, y=31.94492828350228
2022-04-27 11:29:11 - algorithm - INFO: starting 4, line-solver.
2022-04-27 11:29:11 - algorithm - WARNING: Uncertainty at best_x reduced to 1%, stopping line.
2022-04-27 11:29:12 - algorithm - INFO: Saved line plot to runs/Rosenbrock_4a/plots/0/0/Iteration_4.pdf
2022-04-27 11:29:12 - algorithm - INFO: best_x evaluate, y=36.5781045234506
2022-04-27 11:29:12 - algorithm - INFO: starting 5, tr-solver.
2022-04-27 11:29:12 - algorithm - WARNING: change in best_x < 2% of trust-region, picking random direction.
2022-04-27 11:29:12 - algorithm - INFO: Saved trust-region plot to runs/Rosenbrock_4a/plots/0/0/Iteration_5.pdf
2022-04-27 11:29:12 - algorithm - INFO: best_x evaluate, y=36.9049684014882
2022-04-27 11:29:12 - algorithm - INFO: starting 6, line-solver.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
2022-04-27 11:29:12 - algorithm - WARNING: No safe point found, choosing current line center.
